english_word;full_form;uzbek_translation;explanation;example;level
algorithm;—;algoritm;Muammoni hal qilish uchun qadamma-qadam ko'rsatmalar to'plami.;Sorting algoritmi ma'lumotlarni tartiblaydi.;beginner
app;Application;ilova;Foydalanuvchi ishlatadigan dastur.;Telegram — mobil ilova.;beginner
backup;—;zaxira nusxa;Ma'lumotlarning qo'shimcha nusxasi.;Fayllarni bulutga backup qilish kerak.;beginner
browser;—;brauzer;Internet sahifalarni ochadigan dastur.;Chrome va Firefox brauzer hisoblanadi.;beginner
bug;—;xato;Dasturdagi nosozlik yoki kutilmagan xatolik.;Login qismida bug topildi.;beginner
cloud;—;bulutli xizmat;Internet orqali saqlash yoki hisoblash muhiti.;Google Drive bulutli xizmat.;beginner
code;—;kod;Dasturchi yozadigan buyruqlar to'plami.;Python kodi terminalda ishga tushdi.;beginner
computer;—;kompyuter;Hisoblash va dasturlarni bajaruvchi qurilma.;Kompyuterda IDE o'rnatildi.;beginner
cpu;Central Processing Unit;markaziy protsessor;Kompyuterning asosiy hisoblash qismi.;CPU dastur buyruqlarini bajaradi.;beginner
css;Cascading Style Sheets;uslublar jadvali;Veb sahifa ko'rinishini belgilovchi til.;Tugma ranglari CSS bilan beriladi.;beginner
data;—;ma'lumot;Saqlanadigan yoki qayta ishlanadigan axborot.;Jadvaldagi barcha data bazada saqlanadi.;beginner
database;—;ma'lumotlar bazasi;Tartiblangan ma'lumotlar saqlanadigan joy.;SQLite kichik database hisoblanadi.;beginner
debug;—;xatoni tuzatish;Koddagi xatolarni topish va tuzatish jarayoni.;Debug paytida print ishlatildi.;beginner
desktop;—;ish stoli / kompyuter uchun;Kompyuterda ishlaydigan muhit yoki ilova turi.;Desktop ilova Windowsda ishlaydi.;beginner
file;—;fayl;Saqlangan ma'lumot birligi.;main.py — Python fayli.;beginner
folder;—;papka;Fayllarni saqlovchi katalog.;Loyiha alohida folderda turadi.;beginner
frontend;—;foydalanuvchiga ko'rinadigan qism;Dastur yoki saytning tashqi qismi.;Button va menyular frontendga kiradi.;beginner
hardware;—;qurilma qismi;Kompyuterning jismoniy qismlari.;Klaviatura hardware hisoblanadi.;beginner
html;HyperText Markup Language;gipermatn belgilash tili;Veb sahifa tuzilmasini yaratish tili.;Sahifa skeleti HTML bilan yoziladi.;beginner
internet;—;internet;Global tarmoq.;Sayt internet orqali ochiladi.;beginner
ip;Internet Protocol;internet protokoli;Tarmoqdagi qurilma manzilini ifodalovchi protokol.;Har serverning IP manzili bo'ladi.;beginner
